Codice Articolo;Descrizione;EAN13;UM;ID_Prodotto;ID_variante;Descr_web;pesotassabile;Prezzo;PrezzoNoIva;Iva;Dispnetta
10.AEC02.2;AQQUAVER EFFETTO CERA Y02 NOCE CH.LT2,5;8024060153225;NR;280051;117462;NULL;2.920000000;49.700000;49.700000;22;24.000000000
10.AEC02.3;AQQUAVER EFFETTO CERA Y02 NOCE CH.ML750;8024060153232;NR;280051;117463;NULL;0.900000000;17.300000;17.300000;22;51.000000000
10.AECG.2;AQQUAVER EFFETTO CERA PINO (G) LT2,5;8024060153720;NR;280051;118938;NULL;2.940000000;49.700000;49.700000;22;14.000000000
10.AECG.3;AQQUAVER EFFETTO CERA PINO (G) ML750;8024060153737;NR;280051;118939;NULL;0.900000000;17.300000;17.300000;22;-4.000000000
10.AECGC.2;AQQUAVER EFFETTO CERA COL. Y    G LT2,5;NULL;NR;280051;117466;NULL;2.870000000;57.150000;57.150000;22;0.000000000
10.AECGC.3;AQQUAVER EFFETTO CERA COL. Y    G ML750;NULL;NR;280051;117467;NULL;0.900000000;20.820000;20.820000;22;0.000000000
10.AECI.2;AQQUAVER EFFETTO CERA INCOLORE (I) LT2,5;8024060153928;NR;280051;118936;NULL;2.920000000;46.010000;46.010000;22;16.000000000
10.AECI.3;AQQUAVER EFFETTO CERA INCOLORE (I) ML750;8024060153935;NR;280051;118937;NULL;0.900000000;16.040000;16.040000;22;-36.000000000
10.AECIC.2;AQQUAVER EFFETTO CERA COL. Y    I LT2,5;NULL;NR;280051;117464;NULL;2.910000000;57.150000;57.150000;22;0.000000000
10.AECIC.3;AQQUAVER EFFETTO CERA COL. Y    I ML750;NULL;NR;280051;117465;NULL;0.890000000;20.820000;20.820000;22;0.000000000
10.AECR.2;AQQUAVER EFFETTO CERA DOUGLAS (R) LT2,5;8024060153829;NR;280051;118934;NULL;2.940000000;49.700000;49.700000;22;-13.000000000
10.AECR.3;AQQUAVER EFFETTO CERA DOUGLAS (R) ML750;8024060153836;NR;280051;118935;NULL;0.900000000;17.300000;17.300000;22;-30.000000000
10.AECRC.2;AQQUAVER EFFETTO CERA COL. Y    R LT2,5;NULL;NR;280051;117468;NULL;2.930000000;57.150000;57.150000;22;0.000000000
10.AECRC.3;AQQUAVER EFFETTO CERA COL. Y    R ML750;NULL;NR;280051;117469;NULL;0.900000000;20.820000;20.820000;22;0.000000000
10.AFL.2;AQQUAVER FINITURA LUCIDA INCOLORE LT2,5;8024060161022;NR;280049;117478;NULL;2.920000000;59.000000;59.000000;22;37.000000000
10.AFL.3;AQQUAVER FINITURA LUCIDA INCOLORE ML750;8024060161039;NR;280049;117479;NULL;0.900000000;20.550000;20.550000;22;108.000000000
10.AFS.2;AQQUAVER FINITURA SATINATA INCOL. LT2,5;8024060161527;NR;280050;117480;NULL;2.940000000;59.000000;59.000000;22;23.000000000
10.AFS.3;AQQUAVER FINITURA SATINATA INCOL. ML750;8024060161534;NR;280050;117481;NULL;0.910000000;20.550000;20.550000;22;67.000000000
10.AI01.2;AQQUAVER IMPREGNANTE COL. Y01 (R) LT2,5;8024060190121;NR;280052;117494;NULL;2.900000000;44.550000;44.550000;22;0.000000000
10.AI01.3;AQQUAVER IMPREGNANTE COL. Y01 (R) ML750;8024060190138;NR;280052;117495;NULL;0.890000000;15.530000;15.530000;22;0.000000000
10.AI02.2;AQQUAVER IMPREGNANTE COL. Y02 LT2,5;8024060190220;NR;280052;117496;NULL;2.920000000;44.550000;44.550000;22;28.000000000
10.AI02.3;AQQUAVER IMPREGNANTE COL. Y02 ML750;8024060190237;NR;280052;117497;NULL;0.900000000;15.530000;15.530000;22;25.000000000
10.AI03.2;AQQUAVER IMPREGNANTE COL. Y03 LT2,5;8024060190329;NR;280052;117498;NULL;2.900000000;44.550000;44.550000;22;16.000000000
10.AI03.3;AQQUAVER IMPREGNANTE COL. Y03 ML750;8024060190336;NR;280052;117499;NULL;0.890000000;15.530000;15.530000;22;69.000000000
10.AI04.2;AQQUAVER IMPREGNANTE COL. Y04 LT2,5;8024060190428;NR;280052;117500;NULL;2.920000000;44.550000;44.550000;22;22.000000000
10.AI04.3;AQQUAVER IMPREGNANTE COL. Y04 ML750;8024060190435;NR;280052;117501;NULL;0.900000000;15.530000;15.530000;22;9.000000000
10.AI05.2;AQQUAVER IMPREGNANTE COL. Y05 (R) LT2,5;8024060190527;NR;280052;117502;NULL;2.900000000;44.550000;44.550000;22;-2.000000000
10.AI05.3;AQQUAVER IMPREGNANTE COL. Y05 (R) ML750;8024060190534;NR;280052;117503;NULL;0.890000000;15.530000;15.530000;22;0.000000000
10.AI06.2;AQQUAVER IMPREGNANTE COL. Y06 (R) LT2,5;8024060190626;NR;280052;117504;NULL;2.900000000;44.550000;44.550000;22;0.000000000
10.AI06.3;AQQUAVER IMPREGNANTE COL. Y06 (R) ML750;8024060190633;NR;280052;117505;NULL;0.890000000;15.530000;15.530000;22;0.000000000
10.AI07.2;AQQUAVER IMPREGNANTE COL. Y07 (I) LT2,5;8024060190725;NR;280052;117506;NULL;2.910000000;44.550000;44.550000;22;0.000000000
10.AI07.3;AQQUAVER IMPREGNANTE COL. Y07 (I) ML750;8024060190732;NR;280052;117507;NULL;0.890000000;15.530000;15.530000;22;0.000000000
10.AI08.2;AQQUAVER IMPREGNANTE COL. Y08 LT2,5;8024060005524;NR;280137;135410;NULL;3.230000000;44.550000;44.550000;22;14.000000000
10.AI08.3;AQQUAVER IMPREGNANTE COL. Y08 ML750;8024060005531;NR;280137;135411;NULL;0.990000000;15.530000;15.530000;22;73.000000000
10.AI08C.2;AQQUAVER IMPREGNANTE COL. Y    B LT2,5;NULL;NR;280137;135412;NULL;3.230000000;51.260000;51.260000;22;0.000000000
10.AI08C.3;AQQUAVER IMPREGNANTE COL. Y    B ML750;NULL;NR;280137;135413;NULL;0.990000000;18.660000;18.660000;22;0.000000000
10.AIG.2;AQQUAVER IMPREGNANTE PINO (G) LT2,5;8024060197229;NR;280052;117514;NULL;2.920000000;44.550000;44.550000;22;-10.000000000
10.AIG.3;AQQUAVER IMPREGNANTE PINO (G) ML750;8024060197335;NR;280052;117515;NULL;0.900000000;15.530000;15.530000;22;44.000000000
10.AIGC.2;AQQUAVER IMPREGNANTE COL. Y    G LT2,5;NULL;NR;280052;117518;NULL;2.910000000;51.260000;51.260000;22;0.000000000
10.AIGC.3;AQQUAVER IMPREGNANTE COL. Y    G ML750;NULL;NR;280052;117519;NULL;0.890000000;18.660000;18.660000;22;0.000000000
10.AII.2;AQQUAVER IMPREGNANTE INCOLORE (I) LT2,5;8024060111027;NR;280052;117512;NULL;2.920000000;41.400000;41.400000;22;46.000000000
10.AII.3;AQQUAVER IMPREGNANTE INCOLORE (I) ML750;8024060111034;NR;280052;117513;NULL;0.900000000;14.410000;14.410000;22;58.000000000
10.AIIC.2;AQQUAVER IMPREGNANTE COL. Y    I LT2,5;NULL;NR;280052;117516;NULL;2.910000000;51.260000;51.260000;22;0.000000000
10.AIIC.3;AQQUAVER IMPREGNANTE COL. Y    I ML750;NULL;NR;280052;117517;NULL;0.890000000;18.660000;18.660000;22;0.000000000
10.AIR.2;AQQUAVER IMPREGNANTE DOUGLAS (R) LT2,5;8024060191623;NR;280052;117510;NULL;2.920000000;44.550000;44.550000;22;43.000000000
10.AIR.3;AQQUAVER IMPREGNANTE DOUGLAS (R) ML750;8024060191630;NR;280052;117511;NULL;0.900000000;15.530000;15.530000;22;-16.000000000
10.AIRC.2;AQQUAVER IMPREGNANTE COL. Y     R LT2,5;NULL;NR;280052;117520;NULL;2.900000000;51.260000;51.260000;22;0.000000000
10.AIRC.3;AQQUAVER IMPREGNANTE COL. Y     R ML750;NULL;NR;280052;117521;NULL;0.890000000;18.660000;18.660000;22;0.000000000
10.APL.2;AQQUAVER PARQUET INCOLORE LUCIDA LT2,5;8024060119023;NR;280119;117528;NULL;2.900000000;85.140000;85.140000;22;9.000000000
10.APL.3;AQQUAVER PARQUET INCOLORE LUCIDA ML750;8024060119030;NR;280119;117529;NULL;0.890000000;30.670000;30.670000;22;107.000000000
10.APS.2;AQQUAVER PARQUET INCOLORE SATINATA LT2,5;8024060119726;NR;280120;117530;NULL;2.920000000;85.140000;85.140000;22;13.000000000
10.APS.3;AQQUAVER PARQUET INCOLORE SATINATA ML750;8024060119733;NR;280120;117531;NULL;0.900000000;30.670000;30.670000;22;66.000000000
10.AR.3;AQQUAVER RITONIFICANTE INCOLORE ML750;8024060101639;NR;280054;117536;NULL;0.890000000;15.860000;15.860000;22;89.000000000
10.AT.3;AQQUAVER TURAPORI INCOLORE ML750;8024060101837;NR;280121;117614;NULL;0.900000000;15.970000;15.970000;22;108.000000000
10.AXL02.1;AQQUAVER IMPREGNANTE XL Y02 NOCE CH.LT15;8024060110020;NR;280053;117525;NULL;16.180000000;158.120000;158.120000;22;1.000000000
10.AXL02.5;AQQUAVER IMPREGNANTE XL Y02 NOCE CH. LT5;8024060110051;NR;280053;117524;NULL;5.440000000;59.210000;59.210000;22;0.000000000
10.AXL04.1;AQQUAVER IMPREGNANTE XL Y04 NOCE SC.LT15;8024060110419;NR;280053;117527;NULL;16.230000000;158.120000;158.120000;22;2.000000000
10.AXL04.5;AQQUAVER IMPREGNANTE XL Y04 NOCE SC. LT5;8024060110457;NR;280053;117526;NULL;5.470000000;59.210000;59.210000;22;1.000000000
10.AXLI.1;AQQUAVER IMPREGNANTE XL INCOLORE (I)LT15;8024060101011;NR;280053;118941;NULL;16.110000000;125.040000;125.040000;22;-3.000000000
10.AXLI.5;AQQUAVER IMPREGNANTE XL INCOLORE (I) LT5;8024060101059;NR;280053;118940;NULL;5.490000000;46.830000;46.830000;22;3.000000000
10.CEC02.2;CONITIN EFFETTO CERA Y02 NOCE CH. LT2,5;8024060353229;NR;280058;117740;NULL;2.620000000;51.640000;51.640000;22;-18.000000000
10.CEC02.3;CONITIN EFFETTO CERA Y02 NOCE CH. ML750;8024060353236;NR;280058;117742;NULL;0.800000000;17.090000;17.090000;22;3.000000000
10.CEC04.2;CONITIN EFFETTO CERA Y04 NOCE SC. LT2,5;8024060011488;NR;280058;165793;NULL;0.000000000;51.640000;51.640000;22;22.000000000
10.CEC04.3;CONITIN EFFETTO CERA Y04 NOCE SC. ML750;8024060011495;NR;280058;165792;NULL;0.000000000;17.090000;17.090000;22;16.000000000
10.CECG.2;CONITIN EFFETTO CERA PINO (G) LT2,5;8024060353724;NR;280058;117737;NULL;2.610000000;51.640000;51.640000;22;23.000000000
10.CECG.3;CONITIN EFFETTO CERA PINO (G) ML750;8024060353731;NR;280058;117739;NULL;0.800000000;17.090000;17.090000;22;90.000000000
10.CECG.4;CONITIN EFFETTO CERA PINO (G) ML375;8024060353748;NR;280058;117738;NULL;0.430000000;10.120000;10.120000;22;29.000000000
10.CECGC.2;CONITIN EFFETTO CERA COL. Y    G LT2,5;NULL;NR;280058;117745;NULL;2.350000000;56.890000;56.890000;22;0.000000000
10.CECGC.3;CONITIN EFFETTO CERA COL. Y    G ML750;NULL;NR;280058;117746;NULL;0.730000000;19.640000;19.640000;22;0.000000000
10.CECI.2;CONITIN EFFETTO CERA INCOLORE (I) LT2,5;8024060353922;NR;280058;117734;NULL;2.590000000;46.970000;46.970000;22;34.000000000
10.CECI.3;CONITIN EFFETTO CERA INCOLORE (I) ML750;8024060353939;NR;280058;117736;NULL;0.790000000;15.470000;15.470000;22;92.000000000
10.CECI.4;CONITIN EFFETTO CERA INCOLORE (I) ML375;8024060353946;NR;280058;117735;NULL;0.430000000;9.220000;9.220000;22;0.000000000
10.CECIC.2;CONITIN EFFETTO CERA COL. Y    I LT2,5;NULL;NR;280058;117743;NULL;0.000000000;56.890000;56.890000;22;0.000000000
10.CECIC.3;CONITIN EFFETTO CERA COL. Y    I ML750;NULL;NR;280058;117744;NULL;0.000000000;19.640000;19.640000;22;0.000000000
10.CECR.2;CONITIN EFFETTO CERA DOUGLAS (R) LT2,5;8024060353625;NR;280058;117731;NULL;2.610000000;51.640000;51.640000;22;59.000000000
10.CECR.3;CONITIN EFFETTO CERA DOUGLAS (R) ML750;8024060353632;NR;280058;117733;NULL;0.800000000;17.090000;17.090000;22;100.000000000
